timestamp,speaker,words,tags
,ID,"Oh, I can see that. Reading proposal three...instead of using tech, optometrists. Or teaching parents or instructors or whatever adult is in their life...like when I was younger, I was squinting at the blackboard for like way too long, so my teacher noticed and told my mom 'I think she needs glasses!' so just noticing these things, it's not that hard to diagnose. My question for proposal 3 might be, what are the ways that have been tried before and did not work and how is this more efficient and viable than people noticing.",technical;anecdotal;analysis;feasibility
,FA,Than taking your kid to the doctor.,analysis
,ID,"Yeah, being aware.",analysis
,FA,Oh I don't think we came up with a question for number 1.,
,CS,I don't think we did. I actually don't have a question for number 2 unless...I wrote like how would researchers record the data but is that the question we want to use for number 2?,
,FA,How would this be carried out? How would researchers...,clarity;feasibility
,ID,"Lab or at home, how often, also curious what their research behind it is. Have they researched how often these kids might need to do this if we utilize the tech?",clarity;technical;feasibility
,CSA,"For the first one, I mean I have a lot of questions about that. What do they plan to do about those privacy concerns, security concerns? What is done with the data exactly?",privacy;feasibility
,CS,"Yeah, I mean, I think that's the biggest one. Do you plan to create a personalized curriculum for each kid? It's just really vague.",clarity;analysis
,CSA,"Yeah, it sounds expensive to manufacture, doesn't seem like it would be accessible by a lot of kids.",analysis;feasibility
,CS,Authentic play is difficult but you would get more authentic play with a robot doll?,clarity;analysis;feasibility
,ID,It will be the future...that we're talking about.,feasibility
,CSA,Number 1 doesn't seem technically feasible right now.,analysis;feasibility
,ID,"Also to mass produce. It could be 1 super specialized one, but, probably not.",analysis;feasibility
,CSA,"I think we basically...our ranking is 2, 3, 1.",
